pmid,title,abstract,journal_x,year_x,doi,replication_outcome,decade,year_y,journal_y,pm_title,pm_abstract,reports_sex,reports_race,sex_any_hint,race_any_hint,sex_text_mention,sex_text_counts,sex_mesh_hit,race_text_mention,race_mesh_hit,is_compliant,compliance_category
10073377,The Risperidone Outcomes Study of Effectiveness (ROSE): a model for evaluating treatment strategies in typical psychiatric practice.,"We describe the design of a multicenter, randomized clinical trial to compare clinical, quality-of-life, and economic outcomes in patients with schizophrenia or schizoaffective disorder who were treated with risperidone or any of 13 conventional antipsychotic drugs approved for use in the United States. This 1-year trial was designed to approximate conditions of typical clinical practice: protocol-mandated care was minimized, and all health services (including medication) were provided according to usual community practices. Measures of interest included changes in psychiatric symptoms, medication side effects, health-related quality of life, satisfaction with drug therapy, therapy switching, rehospitalization for the management of relapse, the use of psychiatric services of all types, and the cost of psychiatric care. We review the rationale for this type of trial and discuss the potential value of such trials in setting policy and in clinical practice.",The Journal of clinical psychiatry,1999,,noncompliant,1990,1999,The Journal of clinical psychiatry,The Risperidone Outcomes Study of Effectiveness (ROSE): a model for evaluating treatment strategies in typical psychiatric practice.,"We describe the design of a multicenter, randomized clinical trial to compare clinical, quality-of-life, and economic outcomes in patients with schizophrenia or schizoaffective disorder who were treated with risperidone or any of 13 conventional antipsychotic drugs approved for use in the United States. This 1-year trial was designed to approximate conditions of typical clinical practice: protocol-mandated care was minimized, and all health services (including medication) were provided according to usual community practices. Measures of interest included changes in psychiatric symptoms, medication side effects, health-related quality of life, satisfaction with drug therapy, therapy switching, rehospitalization for the management of relapse, the use of psychiatric services of all types, and the cost of psychiatric care. We review the rationale for this type of trial and discuss the potential value of such trials in setting policy and in clinical practice.",False,False,False,False,False,False,False,False,False,False,noncompliant
10192404,Should we consider mood disturbance in schizophrenia as an important determinant of quality of life?,"The main objective in the treatment of schizophrenia should be to optimize individual patient functioning and quality of life. Little is known about the possible relationship of concurrent mood symptoms and quality of life. We hypothesized that the quality of life for people with schizophrenia would be inversely related to the severity of concurrent mood disruption. We conducted a post hoc analysis of an international, multicenter, double-blind, 28-week study of 339 patients who met DSM-IV criteria for schizophrenia, schizophreniform, or schizoaffective disorder and were randomized to treatment with either olanzapine or risperidone. Quality of life data were collected at baseline, 8, 16, 24, and 28 weeks or at early discontinuation; Positive and Negative Syndrome Scale (PANSS) data were collected at each visit (weekly to week 8 and monthly thereafter). Correlations were calculated between changes in quality of life (quality of life scale [QLS] total and subscales) and PANSS mood score. Regression models were used to determine the proportion of variability in the QLS total and subscores accounted for by changes in PANSS positive, PANSS negative, and PANSS mood scores. Finally, path analysis was performed to determine the mechanisms used by the PANSS mood scores to affect the QLS total and subscores. Olanzapine demonstrated a significantly greater therapeutic effect on the PANSS mood item than risperidone did. However, mood improvements with either therapy demonstrated correlations of PANSS mood on the QLS total and subscores which were statistically significant, with the strongest correlation against the interpersonal relations (QLS-IPR) subscore. The path analysis results indicate that the PANSS mood item's most significant path in affecting the QLS total and QLS-IPR is direct. Changes in the quality of life of schizophrenic patients is inversely related to changes in the concurrent mood disruption. Early therapeutic interventions directed at a broader constellation of schizophrenic symptomatology, including mood, may be helpful in improving an individual patient's quality of life. The possible relative advantages of introducing novel antipsychotic agents earlier in the course of illness for restoration of individual quality of life merit further investigation.",The Journal of clinical psychiatry,1999,,noncompliant,1990,1999,The Journal of clinical psychiatry,Should we consider mood disturbance in schizophrenia as an important determinant of quality of life?,"The main objective in the treatment of schizophrenia should be to optimize individual patient functioning and quality of life. Little is known about the possible relationship of concurrent mood symptoms and quality of life. We hypothesized that the quality of life for people with schizophrenia would be inversely related to the severity of concurrent mood disruption. We conducted a post hoc analysis of an international, multicenter, double-blind, 28-week study of 339 patients who met DSM-IV criteria for schizophrenia, schizophreniform, or schizoaffective disorder and were randomized to treatment with either olanzapine or risperidone. Quality of life data were collected at baseline, 8, 16, 24, and 28 weeks or at early discontinuation; Positive and Negative Syndrome Scale (PANSS) data were collected at each visit (weekly to week 8 and monthly thereafter). Correlations were calculated between changes in quality of life (quality of life scale [QLS] total and subscales) and PANSS mood score. Regression models were used to determine the proportion of variability in the QLS total and subscores accounted for by changes in PANSS positive, PANSS negative, and PANSS mood scores. Finally, path analysis was performed to determine the mechanisms used by the PANSS mood scores to affect the QLS total and subscores. Olanzapine demonstrated a significantly greater therapeutic effect on the PANSS mood item than risperidone did. However, mood improvements with either therapy demonstrated correlations of PANSS mood on the QLS total and subscores which were statistically significant, with the strongest correlation against the interpersonal relations (QLS-IPR) subscore. The path analysis results indicate that the PANSS mood item's most significant path in affecting the QLS total and QLS-IPR is direct. Changes in the quality of life of schizophrenic patients is inversely related to changes in the concurrent mood disruption. Early therapeutic interventions directed at a broader constellation of schizophrenic symptomatology, including mood, may be helpful in improving an individual patient's quality of life. The possible relative advantages of introducing novel antipsychotic agents earlier in the course of illness for restoration of individual quality of life merit further investigation.",False,False,True,False,True,False,False,False,False,False,noncompliant
10200742,Improvement of schizophrenic patients with primary negative symptoms treated with amisulpride. Amisulpride Study Group.,"The goal of this placebo-controlled study was to evaluate the efficacy and safety of low doses of amisulpride, an atypical antipsychotic of the benzamide class with high affinity for D2 and D3 dopamine receptors, in the treatment of schizophrenic patients with predominantly primary negative symptoms. After completion of a 4-week washout period, schizophrenic patients with primary negative symptoms participated in a 12-week, multicenter double-blind trial of placebo (N = 83), amisulpride, 50 mg/day (N = 84), or amisulpride, 100 mg/day (N = 75). They were evaluated with the Scale for the Assessment of Negative Symptoms, the Scale for the Assessment of Positive Symptoms, the Brief Psychiatric Rating Scale, and the Montgomery-Asberg Depression Rating Scale. Both amisulpride treatment groups showed significantly greater improvement in negative symptoms than the placebo group. Positive symptom scores were low at baseline and changed minimally during the study, suggesting that the improvement in negative symptoms was independent of improvement in positive symptoms. The safety of amisulpride was comparable to that of placebo, and extrapyramidal symptoms were infrequent. Comparable efficacy and safety results were observed with either dose of amisulpride. These findings confirm and extend those of earlier placebo-controlled studies of low-dose amisulpride in the treatment of patients with predominantly negative symptoms of schizophrenia.",The American journal of psychiatry,1999,,success,1990,1999,The American journal of psychiatry,Improvement of schizophrenic patients with primary negative symptoms treated with amisulpride. Amisulpride Study Group.,"The goal of this placebo-controlled study was to evaluate the efficacy and safety of low doses of amisulpride, an atypical antipsychotic of the benzamide class with high affinity for D2 and D3 dopamine receptors, in the treatment of schizophrenic patients with predominantly primary negative symptoms. After completion of a 4-week washout period, schizophrenic patients with primary negative symptoms participated in a 12-week, multicenter double-blind trial of placebo (N = 83), amisulpride, 50 mg/day (N = 84), or amisulpride, 100 mg/day (N = 75). They were evaluated with the Scale for the Assessment of Negative Symptoms, the Scale for the Assessment of Positive Symptoms, the Brief Psychiatric Rating Scale, and the Montgomery-Asberg Depression Rating Scale. Both amisulpride treatment groups showed significantly greater improvement in negative symptoms than the placebo group. Positive symptom scores were low at baseline and changed minimally during the study, suggesting that the improvement in negative symptoms was independent of improvement in positive symptoms. The safety of amisulpride was comparable to that of placebo, and extrapyramidal symptoms were infrequent. Comparable efficacy and safety results were observed with either dose of amisulpride. These findings confirm and extend those of earlier placebo-controlled studies of low-dose amisulpride in the treatment of patients with predominantly negative symptoms of schizophrenia.",False,False,True,False,True,False,False,False,False,False,noncompliant
10207659,Double-blind comparison of citalopram and placebo in depressed outpatients with melancholia.,"This multicenter study compared the efficacy and safety of citalopram and placebo in a population of moderately to severely depressed patients with melancholia. This randomized, double-blind, parallel-group study compared citalopram (flexible dose; 20-80 mg/day) with placebo in 180 psychiatric outpatients with a DSM-III diagnosis of major depression or bipolar disorder, depressed, who also met DSM-III criteria for melancholia. Following a 1-week placebo washout period, patients meeting study entry criteria were randomized to 4 weeks of double-blind treatment with either citalopram or placebo. Efficacy measures included the Hamilton Rating Scale for Depression (HAM-D), the Clinical Global Impressions (CGI) Scale, and the Zung Self-Rating Depression Scale. Patients treated with citalopram showed significantly greater improvement at endpoint than placebo patients on the HAM-D, CGI, and Zung scales. On the HAM-D, citalopram patients exhibited significantly greater improvement than placebo patients after 1 week of double-blind treatment and at all subsequent study visits. Endpoint analyses of the HAM-D subscales demonstrated that citalopram produced significant improvement of the psychomotor retardation, cognitive disturbance, sleep disturbance, and melancholia symptom clusters. Nausea, dry mouth, somnolence, dizziness, and increased sweating were reported at higher rates by citalopram-treated patients than by placebo-treated patients, but there were no significant citalopram-placebo differences in the incidence of activation (e.g., anxiety, nervousness, insomnia) or sexual dysfunction. Analysis of electrocardiograms, vital signs, and laboratory tests did not reveal any clinically significant effects of citalopram treatment. The results of this study indicate that citalopram is safe and effective in the treatment of depressed patients with melancholia, and is associated with a favorable side effect profile and a potentially rapid onset of action.",Depression and anxiety,1999,,noncompliant,1990,1999,Depression and anxiety,Double-blind comparison of citalopram and placebo in depressed outpatients with melancholia.,"This multicenter study compared the efficacy and safety of citalopram and placebo in a population of moderately to severely depressed patients with melancholia. This randomized, double-blind, parallel-group study compared citalopram (flexible dose; 20-80 mg/day) with placebo in 180 psychiatric outpatients with a DSM-III diagnosis of major depression or bipolar disorder, depressed, who also met DSM-III criteria for melancholia. Following a 1-week placebo washout period, patients meeting study entry criteria were randomized to 4 weeks of double-blind treatment with either citalopram or placebo. Efficacy measures included the Hamilton Rating Scale for Depression (HAM-D), the Clinical Global Impressions (CGI) Scale, and the Zung Self-Rating Depression Scale. Patients treated with citalopram showed significantly greater improvement at endpoint than placebo patients on the HAM-D, CGI, and Zung scales. On the HAM-D, citalopram patients exhibited significantly greater improvement than placebo patients after 1 week of double-blind treatment and at all subsequent study visits. Endpoint analyses of the HAM-D subscales demonstrated that citalopram produced significant improvement of the psychomotor retardation, cognitive disturbance, sleep disturbance, and melancholia symptom clusters. Nausea, dry mouth, somnolence, dizziness, and increased sweating were reported at higher rates by citalopram-treated patients than by placebo-treated patients, but there were no significant citalopram-placebo differences in the incidence of activation (e.g., anxiety, nervousness, insomnia) or sexual dysfunction. Analysis of electrocardiograms, vital signs, and laboratory tests did not reveal any clinically significant effects of citalopram treatment. The results of this study indicate that citalopram is safe and effective in the treatment of depressed patients with melancholia, and is associated with a favorable side effect profile and a potentially rapid onset of action.",False,False,True,False,True,False,False,False,False,False,noncompliant
10211919,"Placebo-controlled, multicenter study of sertraline treatment for obsessive-compulsive disorder.","The safety and efficacy of sertraline versus placebo were examined in a group of nondepressed outpatients with obsessive-compulsive disorder (OCD). Patients with moderate-to-severe OCD were recruited at 10 sites. After a 1-week placebo lead-in, patients were treated in a double-blind fashion for 12 weeks with sertraline or placebo. Sertraline was administered at a starting dose of 50 mg/day, with flexible titration up to 200 mg/day. The efficacy measures were the Yale-Brown Obsessive Compulsive Scale (Y-BOCS), the National Institute of Mental Health Global Obsessive Compulsive Scale (NIMH), and the Clinical Global Impression Scale (CGI) Severity of Illness and Improvement subscales. One hundred sixty-seven patients were randomly assigned and received at least one dose of double-blind medication: 86 received sertraline and 81 received placebo. All efficacy measures showed significantly greater improvement in the sertraline group from the end of week 8 until the end of week 12. Significantly greater improvement (p < 0.05) in the sertraline group first became apparent by the end of week 3 on the Y-BOCS and the CGI Improvement scale, and by the end of weeks 6 and 8, respectively, on the NIMH and CGI Severity scale. Sertraline was well tolerated, without serious adverse effects. In conclusion, sertraline was safe and effective in the treatment of patients with OCD.",Journal of clinical psychopharmacology,1999,,noncompliant,1990,1999,Journal of clinical psychopharmacology,"Placebo-controlled, multicenter study of sertraline treatment for obsessive-compulsive disorder.","The safety and efficacy of sertraline versus placebo were examined in a group of nondepressed outpatients with obsessive-compulsive disorder (OCD). Patients with moderate-to-severe OCD were recruited at 10 sites. After a 1-week placebo lead-in, patients were treated in a double-blind fashion for 12 weeks with sertraline or placebo. Sertraline was administered at a starting dose of 50 mg/day, with flexible titration up to 200 mg/day. The efficacy measures were the Yale-Brown Obsessive Compulsive Scale (Y-BOCS), the National Institute of Mental Health Global Obsessive Compulsive Scale (NIMH), and the Clinical Global Impression Scale (CGI) Severity of Illness and Improvement subscales. One hundred sixty-seven patients were randomly assigned and received at least one dose of double-blind medication: 86 received sertraline and 81 received placebo. All efficacy measures showed significantly greater improvement in the sertraline group from the end of week 8 until the end of week 12. Significantly greater improvement (p < 0.05) in the sertraline group first became apparent by the end of week 3 on the Y-BOCS and the CGI Improvement scale, and by the end of weeks 6 and 8, respectively, on the NIMH and CGI Severity scale. Sertraline was well tolerated, without serious adverse effects. In conclusion, sertraline was safe and effective in the treatment of patients with OCD.",False,False,True,False,True,False,False,False,False,False,noncompliant
10327910,"Fluvoxamine treatment of social phobia (social anxiety disorder): a double-blind, placebo-controlled study.","The purpose of this study was to determine the efficacy of fluvoxamine for the treatment of social phobia (social anxiety disorder). In a 12-week multicenter, double-blind, randomized, placebo-controlled trial, 92 patients with social phobia were treated with the selective serotonin reuptake inhibitor fluvoxamine; 91.3% of the patients had the generalized subtype of the disorder. The primary criterion for response was a rating of ""much improved"" or ""very much improved"" on the Clinical Global Impression of Improvement scale. Secondary response criteria were changes on three specialized rating scales for social phobia symptoms: the Brief Social Phobia Scale, the Social Phobia Inventory, and the Liebowitz Social Anxiety Scale. Psychosocial impairment was assessed in three domains (disruption of work, social life, and home/family life) by using the Sheehan Disability Scale. The mean daily dose of fluvoxamine was 202 mg (SD = 86). At study end or with the last observation carried forward, within the evaluable subjects (N = 86) there was a significantly higher proportion of responders in the fluvoxamine group (42.9%, N = 18) than in the placebo group (22.7%, N = 10). Similarly, fluvoxamine was superior to placebo on all social phobia rating scales at week 8 and beyond. Fluvoxamine also resulted in significantly greater decreases in measures of psychosocial disability than did placebo. Overall, fluvoxamine was well tolerated and safe. These findings indicate that fluvoxamine is efficacious in the pharmacologic management of serious forms of social phobia.",The American journal of psychiatry,1999,,noncompliant,1990,1999,The American journal of psychiatry,"Fluvoxamine treatment of social phobia (social anxiety disorder): a double-blind, placebo-controlled study.","The purpose of this study was to determine the efficacy of fluvoxamine for the treatment of social phobia (social anxiety disorder). In a 12-week multicenter, double-blind, randomized, placebo-controlled trial, 92 patients with social phobia were treated with the selective serotonin reuptake inhibitor fluvoxamine; 91.3% of the patients had the generalized subtype of the disorder. The primary criterion for response was a rating of ""much improved"" or ""very much improved"" on the Clinical Global Impression of Improvement scale. Secondary response criteria were changes on three specialized rating scales for social phobia symptoms: the Brief Social Phobia Scale, the Social Phobia Inventory, and the Liebowitz Social Anxiety Scale. Psychosocial impairment was assessed in three domains (disruption of work, social life, and home/family life) by using the Sheehan Disability Scale. The mean daily dose of fluvoxamine was 202 mg (SD = 86). At study end or with the last observation carried forward, within the evaluable subjects (N = 86) there was a significantly higher proportion of responders in the fluvoxamine group (42.9%, N = 18) than in the placebo group (22.7%, N = 10). Similarly, fluvoxamine was superior to placebo on all social phobia rating scales at week 8 and beyond. Fluvoxamine also resulted in significantly greater decreases in measures of psychosocial disability than did placebo. Overall, fluvoxamine was well tolerated and safe. These findings indicate that fluvoxamine is efficacious in the pharmacologic management of serious forms of social phobia.",False,False,False,False,False,False,False,False,False,False,noncompliant
10341825,A double-blind placebo-controlled trial of paroxetine in the management of social phobia (social anxiety disorder) in South Africa.,"Social phobia, also known as social anxiety disorder, is a highly prevalent disorder with significant morbidity. Patients with social phobia frequently develop co-morbid psychiatric disorders such as depression and substance abuse, and the disorder impacts significantly on social and occupational functioning. It has been suggested that the selective serotonin reuptake inhibitors (SSRIs) are useful in the management of this disorder, but few controlled trials have been undertaken in this regard. There are also few data on the pharmacotherapy of social phobia in South Africa. A double-blind randomised placebo-controlled multi-site flexible-dose trial of paroxetine was undertaken over 12 weeks among patients with a primary diagnosis of social phobia. Primary response measures were the Global Improvement item on the Clinical Global Impression scale (CGI) and mean change from baseline in the patient-rated Liebowitz Social Anxiety Scale (LSAS) total score. Ninety-three patients participated at 9 South African sites; their data are reported here. There was a significant drug effect on both the CGI Global Improvement score and the LSAS at 12 weeks. In addition, there was no significant difference in overall rate of adverse experiences between those on paroxetine and those on placebo. Paroxetine is both effective and safe in the acute treatment of social phobia. The findings here are consistent with those of previous controlled studies of the SSRIs as well as with previous work done in the USA on the use of paroxetine in the treatment of this disorder. Early diagnosis and treatment of social phobia should be encouraged. However, further research on long-term pharmacotherapy of social phobia is needed.",South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,1999,,success,1990,1999,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,A double-blind placebo-controlled trial of paroxetine in the management of social phobia (social anxiety disorder) in South Africa.,"Social phobia, also known as social anxiety disorder, is a highly prevalent disorder with significant morbidity. Patients with social phobia frequently develop co-morbid psychiatric disorders such as depression and substance abuse, and the disorder impacts significantly on social and occupational functioning. It has been suggested that the selective serotonin reuptake inhibitors (SSRIs) are useful in the management of this disorder, but few controlled trials have been undertaken in this regard. There are also few data on the pharmacotherapy of social phobia in South Africa. A double-blind randomised placebo-controlled multi-site flexible-dose trial of paroxetine was undertaken over 12 weeks among patients with a primary diagnosis of social phobia. Primary response measures were the Global Improvement item on the Clinical Global Impression scale (CGI) and mean change from baseline in the patient-rated Liebowitz Social Anxiety Scale (LSAS) total score. Ninety-three patients participated at 9 South African sites; their data are reported here. There was a significant drug effect on both the CGI Global Improvement score and the LSAS at 12 weeks. In addition, there was no significant difference in overall rate of adverse experiences between those on paroxetine and those on placebo. Paroxetine is both effective and safe in the acute treatment of social phobia. The findings here are consistent with those of previous controlled studies of the SSRIs as well as with previous work done in the USA on the use of paroxetine in the treatment of this disorder. Early diagnosis and treatment of social phobia should be encouraged. However, further research on long-term pharmacotherapy of social phobia is needed.",False,False,True,False,True,False,False,False,False,False,noncompliant
10363731,A placebo-controlled comparison of the antidepressant efficacy and effects on sexual functioning of sustained-release bupropion and sertraline.,"Sexual dysfunction, a frequently reported side effect of many antidepressants, may result in patient dissatisfaction and noncompliance with treatment regimens. This paper describes the results of the first placebo-controlled comparison of the efficacy, safety, and effects on sexual functioning of sustained-release bupropion (bupropion SR) and the selective serotonin reuptake inhibitor sertraline. This randomized, double-masked, double-dummy, parallel-group, multicenter trial enrolled 360 patients with moderate-to-severe recurrent major depression. Patients were treated with bupropion SR 150 to 400 mg/d, sertraline 50 to 200 mg/d, or placebo for up to 8 weeks. Patients' depression and sexual functioning were assessed at weekly or biweekly clinic visits; safety was assessed by regular monitoring of adverse events, vital signs, and body weight. Treatment groups were similar at baseline in terms of age, sex, and race, and most patients had a diagnosis of moderate uncomplicated depression. Patients treated with bupropion SR or sertraline showed similar improvements on all efficacy measures; both active treatments were superior to placebo in improving scores on all rating scales for depression at various time points. Significantly more patients treated with sertraline experienced orgasmic dysfunction throughout the study than did patients treated with bupropion SR or placebo (P < 0.001). Headache was the most frequently reported adverse event in all 3 treatment groups and occurred with similar frequency in each group (30% to 40%). Nausea (31%), diarrhea (26%), insomnia (18%), and somnolence (17%) occurred in significantly more patients in the sertraline group than in the bupropion SR group (18%, 7%, 13%, and 3%, respectively) and the placebo group (10%, 11%, 4%, and 6%, respectively). Dry mouth occurred more frequently with bupropion SR (19%) than with sertraline (14%) or placebo (12%), although the differences were not significant. Changes in vital signs were similar in all groups. Similar (small, but not statistically significant) decreases in mean body weight were seen in both the bupropion SR (-1.06 kg) and sertraline (-0.79 kg) groups, whereas the placebo group experienced a minor increase (0.21 kg). Although bupropion SR and sertraline were similarly well tolerated and effective in the treatment of depression, sertraline treatment was more often associated with sexual dysfunction and certain other adverse events compared with bupropion SR and placebo. Therefore, bupropion SR may be an appropriate choice as an antidepressant for the treatment of sexually active patients.",Clinical therapeutics,1999,,noncompliant,1990,1999,Clinical therapeutics,A placebo-controlled comparison of the antidepressant efficacy and effects on sexual functioning of sustained-release bupropion and sertraline.,"Sexual dysfunction, a frequently reported side effect of many antidepressants, may result in patient dissatisfaction and noncompliance with treatment regimens. This paper describes the results of the first placebo-controlled comparison of the efficacy, safety, and effects on sexual functioning of sustained-release bupropion (bupropion SR) and the selective serotonin reuptake inhibitor sertraline. This randomized, double-masked, double-dummy, parallel-group, multicenter trial enrolled 360 patients with moderate-to-severe recurrent major depression. Patients were treated with bupropion SR 150 to 400 mg/d, sertraline 50 to 200 mg/d, or placebo for up to 8 weeks. Patients' depression and sexual functioning were assessed at weekly or biweekly clinic visits; safety was assessed by regular monitoring of adverse events, vital signs, and body weight. Treatment groups were similar at baseline in terms of age, sex, and race, and most patients had a diagnosis of moderate uncomplicated depression. Patients treated with bupropion SR or sertraline showed similar improvements on all efficacy measures; both active treatments were superior to placebo in improving scores on all rating scales for depression at various time points. Significantly more patients treated with sertraline experienced orgasmic dysfunction throughout the study than did patients treated with bupropion SR or placebo (P < 0.001). Headache was the most frequently reported adverse event in all 3 treatment groups and occurred with similar frequency in each group (30% to 40%). Nausea (31%), diarrhea (26%), insomnia (18%), and somnolence (17%) occurred in significantly more patients in the sertraline group than in the bupropion SR group (18%, 7%, 13%, and 3%, respectively) and the placebo group (10%, 11%, 4%, and 6%, respectively). Dry mouth occurred more frequently with bupropion SR (19%) than with sertraline (14%) or placebo (12%), although the differences were not significant. Changes in vital signs were similar in all groups. Similar (small, but not statistically significant) decreases in mean body weight were seen in both the bupropion SR (-1.06 kg) and sertraline (-0.79 kg) groups, whereas the placebo group experienced a minor increase (0.21 kg). Although bupropion SR and sertraline were similarly well tolerated and effective in the treatment of depression, sertraline treatment was more often associated with sexual dysfunction and certain other adverse events compared with bupropion SR and placebo. Therefore, bupropion SR may be an appropriate choice as an antidepressant for the treatment of sexually active patients.",False,True,True,True,True,False,False,True,False,True,compliant
10403145,"A Canadian multicenter, double-blind study of paroxetine and fluoxetine in major depressive disorder.","Recent studies have suggested clinical differences among selective serotonin reuptake inhibitors. In a 12-week randomized, multicenter, double-blind trial, the antidepressant and anxiolytic efficacy of the selective serotonin reuptake inhibitors paroxetine and fluoxetine was compared in patients with moderate to severe depression. A total of 203 patients were randomized to fixed doses (20 mg/day) of paroxetine or fluoxetine for the first six weeks of therapy. From week 7-12, dosing could be adjusted biweekly, as required (paroxetine 20-50 mg/day, and fluoxetine 20-80 mg/day). The mean prescribed doses were paroxetine 25.5 mg/day (range 20.0-40.2 mg/day), and fluoxetine 27.5 mg/day (range 20.0-59.5 mg/day). Emergence of motor nervousness or restlessness was assessed using the ESRS scale for akathisia. Both active treatments demonstrated comparable antidepressant efficacy (HAM-D, CGI). Anxiolytic activity of the two drugs (COVI, STAI, HAM-D) was also comparable. However, paroxetine was found to be superior to fluoxetine on two subscore measures at week 1 of therapy (HAM-D Agitation item, p < 0.05; Psychic Anxiety item, p < 0.05), with no differences detected after week 2. The overall incidence of adverse effects was comparable in the two treatment groups. Constipation, dyspepsia, tremor, sweating and abnormal ejaculation were more common in paroxetine-treated subjects, whereas nausea and nervousness were more frequent in fluoxetine-treated patients. Weight loss was more common in the fluoxetine versus paroxetine group (11.88% versus 2.94%, respectively). ESRS scores for akathisia were low throughout the study and showed little change. Differences observed between the two drugs in antianxiety effects were limited to two measures of anxiety among several others. The data indicate that paroxetine and fluoxetine have comparable antidepressant and anxiolytic efficacy. Paroxetine appears to produce an earlier improvement in agitation and psychic anxiety symptoms compared with fluoxetine.",Journal of affective disorders,1999,,noncompliant,1990,1999,Journal of affective disorders,"A Canadian multicenter, double-blind study of paroxetine and fluoxetine in major depressive disorder.","Recent studies have suggested clinical differences among selective serotonin reuptake inhibitors. In a 12-week randomized, multicenter, double-blind trial, the antidepressant and anxiolytic efficacy of the selective serotonin reuptake inhibitors paroxetine and fluoxetine was compared in patients with moderate to severe depression. A total of 203 patients were randomized to fixed doses (20 mg/day) of paroxetine or fluoxetine for the first six weeks of therapy. From week 7-12, dosing could be adjusted biweekly, as required (paroxetine 20-50 mg/day, and fluoxetine 20-80 mg/day). The mean prescribed doses were paroxetine 25.5 mg/day (range 20.0-40.2 mg/day), and fluoxetine 27.5 mg/day (range 20.0-59.5 mg/day). Emergence of motor nervousness or restlessness was assessed using the ESRS scale for akathisia. Both active treatments demonstrated comparable antidepressant efficacy (HAM-D, CGI). Anxiolytic activity of the two drugs (COVI, STAI, HAM-D) was also comparable. However, paroxetine was found to be superior to fluoxetine on two subscore measures at week 1 of therapy (HAM-D Agitation item, p < 0.05; Psychic Anxiety item, p < 0.05), with no differences detected after week 2. The overall incidence of adverse effects was comparable in the two treatment groups. Constipation, dyspepsia, tremor, sweating and abnormal ejaculation were more common in paroxetine-treated subjects, whereas nausea and nervousness were more frequent in fluoxetine-treated patients. Weight loss was more common in the fluoxetine versus paroxetine group (11.88% versus 2.94%, respectively). ESRS scores for akathisia were low throughout the study and showed little change. Differences observed between the two drugs in antianxiety effects were limited to two measures of anxiety among several others. The data indicate that paroxetine and fluoxetine have comparable antidepressant and anxiolytic efficacy. Paroxetine appears to produce an earlier improvement in agitation and psychic anxiety symptoms compared with fluoxetine.",False,False,False,False,False,False,False,False,False,False,noncompliant
10435201,"The psychosis of schizophrenia: prevalence, response to atypical antipsychotics, and prediction of outcome.","Psychosis is a defining feature of schizophrenia consisting of formal thought disorder, delusions, and hallucinations. Although psychosis is present in the majority of patients with schizophrenia, the prevalence, responsiveness to atypical antipsychotic drug therapy, and prediction of outcome of individual psychotic symptoms in a population of well-diagnosed patients with schizophrenia have not been conclusively established. This paper examined the prevalence, responsiveness to the atypical antipsychotic olanzapine, and relationship to outcome of individual psychotic symptoms using data from a previously reported large multicenter, double-blind clinical trial of olanzapine (mean daily dose at endpoint = 13.6 +/- 6.9 mg/day). The most frequently reported psychotic symptoms at baseline were delusions (65%), conceptual disorganization (50%), and hallucinations (52%), and the majority of patients (68%) experienced from one to three symptoms. Additionally, with olanzapine treatment there were significant improvements (p < .001) in baseline to endpoint Positive and Negative Symptom Scale (PANSS) psychotic item scores, with the largest effect sizes observed for hallucinatory behavior, unusual thought content, suspiciousness/persecution, and delusions. During the acute phase of the trial, quality of life was correlated significantly with baseline conceptual disorganization (p = .038) and unusual thought content (p = .023), and time spent in the hospital was correlated with unusual thought content (p = .005). The implications of these for the clinical management of schizophrenia are discussed.",Biological psychiatry,1999,,noncompliant,1990,1999,Biological psychiatry,"The psychosis of schizophrenia: prevalence, response to atypical antipsychotics, and prediction of outcome.","Psychosis is a defining feature of schizophrenia consisting of formal thought disorder, delusions, and hallucinations. Although psychosis is present in the majority of patients with schizophrenia, the prevalence, responsiveness to atypical antipsychotic drug therapy, and prediction of outcome of individual psychotic symptoms in a population of well-diagnosed patients with schizophrenia have not been conclusively established. This paper examined the prevalence, responsiveness to the atypical antipsychotic olanzapine, and relationship to outcome of individual psychotic symptoms using data from a previously reported large multicenter, double-blind clinical trial of olanzapine (mean daily dose at endpoint = 13.6 +/- 6.9 mg/day). The most frequently reported psychotic symptoms at baseline were delusions (65%), conceptual disorganization (50%), and hallucinations (52%), and the majority of patients (68%) experienced from one to three symptoms. Additionally, with olanzapine treatment there were significant improvements (p < .001) in baseline to endpoint Positive and Negative Symptom Scale (PANSS) psychotic item scores, with the largest effect sizes observed for hallucinatory behavior, unusual thought content, suspiciousness/persecution, and delusions. During the acute phase of the trial, quality of life was correlated significantly with baseline conceptual disorganization (p = .038) and unusual thought content (p = .023), and time spent in the hospital was correlated with unusual thought content (p = .005). The implications of these for the clinical management of schizophrenia are discussed.",False,False,True,False,True,False,False,False,False,False,noncompliant
